Annual_Income,Spending_Score,Age,Savings,Online_Spend
108222,71,38,27797,8519
83001,90,54,48573,2981
43977,72,60,11584,2965
69832,70,48,15780,2675
60931,30,38,38905,6285
103990,23,43,22573,8756
98894,32,58,34359,5841
92204,86,52,1526,377
65784,57,55,8855,165
126305,9,41,44463,4362
29921,31,28,35060,5804
54959,71,58,30482,8694
52328,9,46,17571,8089
28859,13,64,32740,6355
144492,58,20,20142,7541
109506,3,18,26104,4792
94408,35,69,9625,4519
143852,97,36,40199,8060
104766,21,63,16926,6178
46708,64,66,32218,1537
38847,95,39,45472,8720
75989,52,31,27380,7132
112641,34,66,21566,5831
145383,96,31,34205,3478
24922,35,61,44548,8684
89928,15,33,30717,6447
72335,96,50,42756,6501
146913,6,30,26135,6729
33541,85,55,29164,4641
39551,97,66,9953,7976
39381,32,29,39562,8633
133319,52,68,4574,8424
75673,83,55,21169,364
121531,97,56,22604,9977
42948,28,50,25134,1534
112264,95,50,24202,5427
79072,85,46,1684,5197
87560,98,22,38001,1760
102249,64,23,46765,5792
22486,79,48,9007,2454
86691,78,33,36096,8557
30082,19,48,42787,6561
122781,15,42,10255,9428
104105,6,65,33262,7144
27086,73,63,19093,5597
147818,84,50,6782,4649
87853,98,30,2234,6434
121925,38,69,38973,6110
90027,26,27,35188,5026
35916,82,41,32996,9682
35248,92,27,30204,9404
88047,51,58,18152,6165
44226,73,48,43364,2279
45025,96,30,26019,5067
127850,53,20,20488,734
68380,56,67,38123,3731
27848,59,69,20689,9691
34274,70,51,29506,4777
140092,78,66,18715,2318
74545,92,45,42029,1489
149043,58,36,14765,4376
116494,88,40,22942,1349
135981,13,62,39712,7740
55233,43,49,40894,5812
36304,76,30,39031,1345
133973,51,50,21478,8345
31294,19,51,23551,542
46425,21,50,49068,7076
88711,91,22,29072,4775
126153,83,20,36561,8053
130777,24,24,3892,4477
113311,26,41,34966,7158
29425,45,39,25395,922
111549,28,62,19756,3039
113464,82,40,23174,7196
64990,29,47,35651,5865
126748,17,35,1797,1131
93746,68,49,9209,662
88295,44,24,42003,440
36091,61,50,22346,4667
139943,93,22,49025,7962
143102,68,66,29024,2396
20002,74,45,30414,334
142818,25,25,41818,5302
70411,95,32,6947,9408
60958,67,69,10617,9709
147829,2,21,21704,1391
115696,89,51,29702,4827
40707,49,22,2892,8820
35248,70,50,30754,3039
91309,26,22,4424,5535
98322,72,55,43218,7081
71720,99,51,14418,5492
35037,27,43,30886,9621
87421,89,18,35783,8072
125364,18,21,24057,1333
101867,54,56,5833,2900
60612,1,43,10894,2875
108031,61,50,49710,6144
33450,3,50,42833,3587
29491,68,25,1565,7483
137026,41,37,41180,3950
94804,37,33,19402,5097
138446,51,38,43845,990
113293,15,62,11315,6020
139498,8,43,13834,1288
127443,38,40,3314,5744
26791,83,35,38180,840
125475,56,48,4883,1469
48314,47,69,45152,9681
71883,90,59,11051,2100
114119,10,29,41984,1571
135557,78,18,12695,1636
107086,49,59,24123,418
85629,41,26,8902,5253
121291,83,20,46955,1994
131151,30,68,18573,8091
29967,5,43,30374,9567
101754,95,26,13288,8692
63220,71,59,47978,6035
94163,83,68,7884,823
24947,31,33,11559,2429
59419,52,41,19125,9427
76131,88,67,4688,2870
108714,98,31,24869,7645
48876,23,20,47882,4946
108444,48,51,39137,367
121448,40,50,45706,669
39971,6,67,5023,2073
82539,38,41,49750,8837
118120,41,26,18100,2922
69228,27,30,37735,4560
143695,75,19,8423,370
94495,69,24,40218,7741
141241,57,65,13213,9030
48261,17,38,36983,6780
126601,71,36,34158,1357
81260,91,42,29460,8350
124998,47,64,32017,5470
101371,79,39,34000,4958
104793,13,28,27502,8681
23346,11,50,31990,9010
116343,90,49,20515,7099
115954,86,38,30991,220
76176,92,56,8634,7008
72300,24,37,12498,2403
31340,93,25,11916,4961
144345,73,59,30377,3011
145467,4,54,34001,9091
53012,46,26,2391,7336
55393,18,42,44852,5665
122153,43,42,43215,6631
95133,80,50,15184,1209
45557,33,19,28114,7029
84204,93,36,12882,1350
93273,10,63,48606,8277
132328,73,37,18273,1749
130304,59,59,41670,7451
126637,31,58,46647,6011
37276,28,59,18129,9637
74639,60,46,43679,3056
141939,3,23,1427,5928
27310,55,34,32416,5094
55167,14,42,1731,6536
122944,58,55,1799,8776
104880,89,21,29873,7714
30391,15,47,8025,9094
142013,2,37,15481,1815
70621,24,20,26411,8250
30892,78,40,32358,3583
96733,64,68,41392,7775
98586,71,35,15961,1857
56142,24,43,22767,1909
65679,27,53,42000,5639
61615,37,25,37135,6148
67553,94,34,22392,9962
129264,91,48,14262,1251
99071,39,54,6229,5592
61002,63,62,24772,6811
128807,79,50,19799,6402
142611,26,44,47515,4847
90658,65,62,24555,8502
29852,4,21,27616,4781
25387,29,39,20333,2607
147571,1,43,5261,3063
117295,50,49,4466,3528
125935,86,41,47553,7594
59994,11,63,4088,4055
123412,74,52,46783,3805
136912,59,54,2115,4138
120414,62,49,5578,9344
53725,81,24,3590,813
92682,36,50,8372,7360
20560,56,48,4573,7111
144210,90,29,3978,8979
76565,21,28,44407,8621
21312,13,41,10422,1846
38205,9,25,44626,1307
145882,11,49,24697,884
31595,75,55,31820,2796
107566,70,39,38743,7173
41329,1,51,5925,5136
123678,70,36,30430,7227
88187,77,69,29834,3818
148509,86,37,25435,5875
95542,56,31,22676,8010
128237,31,50,44554,2793
139389,86,27,20814,725
146688,37,33,15716,3808
134476,47,21,28528,6959
55645,91,44,2995,9053
107502,78,45,23414,7792
113382,47,60,14844,6498
107310,69,33,37659,7352
89619,58,69,16522,1655
53513,36,50,40913,8967
28749,32,65,9498,4287
50783,98,36,43322,7867
80645,64,38,3102,136
102861,71,39,36798,1887
73175,42,26,9524,6383
104216,48,26,31846,8160
82709,74,26,9107,8165
37323,81,44,19268,3980
70762,30,34,48703,6032
108220,21,61,25399,8428
84222,60,62,10624,6433
54493,13,25,28126,5859
78328,1,33,24131,6585
144467,65,35,49591,5167
32213,33,50,21714,761
117367,38,18,41631,8073
127832,25,29,36877,6486
66930,26,23,19570,7987
47713,77,58,13482,514
127157,59,22,35318,6950
92723,92,33,34414,8634
118336,33,35,22040,2829
52583,41,66,14407,3997
148792,30,35,46468,2269
133197,57,18,34305,1978
99944,49,36,15166,6554
42369,48,25,7572,4670
67928,72,20,34002,1615
88950,49,42,27972,674
135844,47,22,47835,2967
39510,56,57,43464,3644
142940,65,36,47918,4577
32120,12,35,23923,171
119847,69,67,2909,3080
118575,88,48,45918,9409
149269,6,50,33848,5592
25295,89,64,3083,9651
40460,65,35,47146,4859
34963,25,56,48985,9807
97116,1,33,18140,8184
107822,32,33,3670,139
47328,3,64,37519,9674
104629,49,55,45512,5473
144034,19,58,39029,7665
41605,60,24,15691,2000
130901,29,31,40620,2317
64813,50,60,35262,4896
66371,2,65,26595,4706
128241,73,42,34440,1383
67598,56,49,9630,8875
80776,17,55,32250,8750
143217,60,39,29798,915
92258,36,33,44036,2611
60969,61,69,34212,346
56912,17,46,42925,4925
58374,49,33,12982,6616
92302,76,29,9655,516
82784,60,34,19582,6802
69882,20,54,36055,3817
35928,50,44,45725,207
41274,3,42,5008,9130
149994,43,30,45464,4613
54416,57,25,42872,1521
106148,50,22,1496,7383
80998,68,29,35231,355
120434,81,58,24212,7348
132696,50,20,21637,9129
49047,37,52,46227,3062
63356,46,50,17877,2382
57134,42,39,18810,8844
87042,15,67,10884,8472
71310,33,61,3723,1577
137604,80,26,5761,8862
100758,11,58,8630,5052
32363,20,35,17375,5980
105149,24,67,42509,5692
64563,64,46,26218,7191
50628,80,56,31565,691
128162,94,44,38118,6377
130920,98,53,33975,2360
140953,65,62,28073,447
89672,88,34,5190,8457
66246,88,51,2883,5132
31161,73,63,3886,4543
120993,86,20,9953,8874
109110,76,22,9381,6969
112438,17,31,24238,5796
22810,89,20,14795,3138
79860,92,40,31428,2945
97199,61,56,10638,7964
91688,15,47,5931,6709
85548,94,67,43623,1365
82363,51,62,39492,2374
31162,27,40,27411,2570
107858,86,44,46188,2677
93535,74,27,21534,3760
27219,61,42,37828,1168
90864,58,30,30181,5691
23621,31,33,38533,6074
138371,91,58,20996,4929
109792,12,51,7553,2050
64433,46,54,41146,8383
139998,31,39,19073,3193
96850,32,34,8130,5411
146344,32,40,30405,1487
86188,99,53,36954,4374
74951,53,66,6789,2385
101718,61,26,29930,3306
127116,46,69,49890,3024
56558,85,19,18529,7145
148938,74,49,8942,8571
35659,80,67,8548,1718
54413,7,39,19296,8662
30435,4,60,33244,5996
139200,91,30,1296,7943
73911,52,25,3409,9995
48067,89,18,35229,7163
107794,31,34,31846,8595
113823,75,29,36036,1448
89224,84,21,40322,5656
93225,36,30,28167,5389
21379,54,48,29991,2522
122547,54,58,18801,3728
128541,17,24,8358,2528
47624,75,40,23588,3133
111500,30,41,18671,6257
108427,99,22,18502,8960
134634,22,22,26128,8791
142507,43,34,32645,7913
148701,27,47,8637,1514
77745,37,26,1660,6808
71805,46,23,42675,8821
123915,35,42,7922,6735
140815,4,36,29161,3721
32516,80,33,45721,5415
99422,80,38,4970,854
105843,85,19,4407,2447
149560,26,27,28843,826
44843,19,33,10046,5023
132020,81,54,24800,2749
25912,45,32,15547,2915
41514,26,30,38528,9166
107359,22,30,32389,3379
77032,58,49,31346,3084
48797,63,62,23748,3907
26449,28,64,47233,7976
21725,65,63,37855,6199
101406,44,25,26848,707
29304,43,60,8607,6269
93058,37,35,37787,7890
145555,66,53,34583,5673
33663,17,43,13563,734
90320,40,27,47060,1174
95008,38,48,49926,2014
135920,85,50,34690,688
114488,61,46,46697,3331
147418,9,22,30176,6451
95591,77,30,15925,3938
115044,75,18,22251,2073
32676,61,40,18648,5144
45192,80,57,21108,6203
44722,16,20,11979,6783
27446,2,20,3722,5937
139304,72,24,6355,9543
24725,43,53,47069,6883
105597,42,52,29799,5694
133073,77,32,36318,3922
108207,57,57,33705,3489
77632,81,20,44909,6014
86945,88,46,24070,1880
93741,67,47,12284,3788
36365,30,56,22737,7311
85792,13,35,24241,5137
84857,19,28,28414,6419
